States,females,males,hispanic,not hispanic,White Alone,Black or African American Alone,American Indian or Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Two or more races,Age: [0-10],Age: [11-20],Age: [21-30],Age: [31-40],Age: [41-50],Age: [51-60],Age: [61-70],Age: [71-80],Age: [81-84],Age: [85]+,GDP Per Year (Normalized),Personal income per capita (Normalized),Personal Consumption expenditure per capita (Normalized),Presidential Approval Rating,GOP/Total Senate Seats pre-election,GOP/Total House Seats pre-election
New Jersey 2012,5.13E-01,4.87E-01,1.85E-01,8.15E-01,7.38E-01,1.47E-01,5.78E-03,8.90E-02,9.38E-04,1.95E-02,1.34E-01,1.32E-01,1.26E-01,1.28E-01,1.50E-01,1.42E-01,9.63E-02,5.29E-02,1.57E-02,2.16E-02,519569,0.5004267745,0.5157849436,0.55,0,0.4615384615
New Jersey 2016,5.12E-01,4.88E-01,1.99E-01,8.01E-01,7.26E-01,1.49E-01,5.93E-03,9.57E-02,1.04E-03,2.16E-02,1.30E-01,1.27E-01,1.28E-01,1.28E-01,1.36E-01,1.47E-01,1.07E-01,5.92E-02,1.48E-02,2.28E-02,581504.4,0.6633872417,0.6743721373,0.57,0,0.5
New Mexico 2012,5.05E-01,4.95E-01,4.71E-01,5.29E-01,8.31E-01,2.41E-02,1.03E-01,1.62E-02,1.56E-03,2.33E-02,1.48E-01,1.39E-01,1.39E-01,1.21E-01,1.26E-01,1.37E-01,1.03E-01,5.57E-02,1.40E-02,1.65E-02,87644.8,0.05438005391,0.1061756478,0.47,0,0.3333333333
New Mexico 2016,5.05E-01,4.95E-01,4.85E-01,5.15E-01,8.23E-01,2.51E-02,1.09E-01,1.73E-02,1.54E-03,2.48E-02,1.41E-01,1.34E-01,1.39E-01,1.26E-01,1.14E-01,1.33E-01,1.16E-01,6.40E-02,1.47E-02,1.86E-02,91240.2,0.1284141959,0.2183455781,0.51,0,0.3333333333
New York 2012,5.15E-01,4.85E-01,1.82E-01,8.18E-01,7.11E-01,1.75E-01,9.56E-03,8.01E-02,1.28E-03,2.25E-02,1.29E-01,1.30E-01,1.46E-01,1.29E-01,1.42E-01,1.37E-01,9.65E-02,5.35E-02,1.55E-02,2.13E-02,1323401,0.4644654088,0.4294057975,0.58,0,0.275862069
New York 2016,5.15E-01,4.85E-01,1.89E-01,8.11E-01,7.01E-01,1.76E-01,9.67E-03,8.69E-02,1.34E-03,2.49E-02,1.27E-01,1.22E-01,1.47E-01,1.32E-01,1.28E-01,1.40E-01,1.07E-01,5.94E-02,1.49E-02,2.30E-02,1545988,0.6310197664,0.637084627,0.6,0,0.3333333333
North Carolina 2012,5.13E-01,4.87E-01,8.61E-02,9.14E-01,7.18E-01,2.21E-01,1.56E-02,2.48E-02,1.14E-03,1.96E-02,1.40E-01,1.35E-01,1.35E-01,1.30E-01,1.41E-01,1.34E-01,1.01E-01,5.36E-02,1.34E-02,1.64E-02,439539.7,0.1271563342,0.07675755433,0.47,0.5,0.4615384615
North Carolina 2016,5.13E-01,4.87E-01,9.17E-02,9.08E-01,7.10E-01,2.22E-01,1.58E-02,2.93E-02,1.21E-03,2.18E-02,1.34E-01,1.32E-01,1.37E-01,1.26E-01,1.33E-01,1.35E-01,1.11E-01,6.08E-02,1.38E-02,1.75E-02,520356.6,0.2135669362,0.1906489195,0.48,1,0.7692307692
North Dakota 2012,4.92E-01,5.08E-01,2.49E-02,9.75E-01,8.99E-01,1.55E-02,5.55E-02,1.19E-02,5.68E-04,1.75E-02,1.40E-01,1.33E-01,1.63E-01,1.18E-01,1.19E-01,1.40E-01,9.19E-02,5.39E-02,1.70E-02,2.51E-02,51624.6,0.4966981132,0.4780055947,0.33,0.5,1
North Dakota 2016,4.87E-01,5.13E-01,3.66E-02,9.63E-01,8.78E-01,2.95E-02,5.58E-02,1.52E-02,6.42E-04,2.08E-02,1.48E-01,1.27E-01,1.67E-01,1.30E-01,1.06E-01,1.29E-01,1.00E-01,5.29E-02,1.50E-02,2.47E-02,0.008288032196,0.4160826595,0.5353970059,0.38,0.5,1
